DJIA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001740472,-0.022210521,0.003237115,0.006926838,-0.000556451,-0.000909497,0.001690246,-0.002099635,0.007097824,-0.001586522,0.005964998,-0.000388135,0.008967775,0.007700957,-0.004931005,0.001347638,0.002314175,0.004837713,-0.006750688,-0.002687366,0.00196779,-0.001117988,-0.001905326,0.007082095,0.003638308,0.000678379,-0.011907318,0.003349621,-0.003300436,-0.002408415
-0.002729322,0.005438437,-0.000446233,0.005724143,-0.01322424,0.001364073,-0.002657244,-0.003817656,0.006824789,-0.009693809,-0.003434706,-0.01249042,0.00521249,0.005779338,-0.004706901,-0.007172894,-0.005940486,0.000201128,-0.02135887,-0.007719678,0.000982527,0.002358863,-0.00269538,-0.011517345,-0.000974761,-0.006031811,0.005560662,0.00561564,-0.005609963,0.001506064
0.006423115,-0.007177595,-0.003797505,0.015058237,0.00326623,0.013538112,0.008430683,0.006834775,-0.006039565,0.004919997,0.019749739,0.005093145,0.02100584,-0.011592251,0.002975147,0.005513975,0.000145297,0.007411178,0.007720071,0.000774927,0.00620008,0.009626148,-0.005864556,0.030118352,0.006363303,0.007613194,0.012450312,0.006454593,0.003063803,0.014048999
-0.004134084,0.006313204,0.003136774,0.002203934,0.002358497,-0.000897125,-0.014334286,-0.014779664,0.000840988,0.005262387,-0.009213967,-0.006271985,-0.001379659,0.009386416,-0.011203741,-0.010115287,-0.007437478,-0.006406628,-0.018013614,-0.005175219,0.006808467,-0.014599047,-0.009319539,-0.011700385,0.001232618,0.003200067,-0.005551236,0.031661694,-0.007934457,-0.00327067
-0.001092789,-0.012852349,-0.005945613,0.009259599,0.006374078,-0.009012949,0,-0.00426339,-0.005845212,-0.004403912,-0.003143936,-0.004730104,0.006035428,-0.001870308,-0.005271731,0.000523912,-0.00131845,-0.005437495,-0.006452618,0,-0.00064643,0.002241024,0.001141124,0.006064255,0.000527935,-0.001396129,-0.020834343,0.029545764,0.003334824,-0.009775612
-0.000468891,-0.006695481,-0.003719335,-0.001619617,0.008878137,0.005867692,-0.018665932,0.006520794,0.00556515,0.00537983,-0.000640612,0.008654597,0.000105392,-0.004605468,0.010017551,0.003555433,-0.001980744,0.007243651,0.014252065,-0.002207688,-0.007789972,-0.00149312,-0.002169602,-0.01830547,0.001054669,-0.003520967,0.005249277,-0.012839763,-0.000640416,0.007589438
-0.010956549,0.005221702,-0.017774661,-0.008492443,-0.006873468,-0.001350955,-0.014651324,-0.028523432,-0.014170178,-0.012762427,-0.016693175,-0.001175559,-0.002536171,-0.013598474,-0.015064273,-0.010176942,-0.011075767,0.062933226,-0.029852982,-0.022880879,-0.004899601,-0.003618193,-0.013231513,-0.01022606,-0.009090014,-0.010135853,-0.015193545,-0.002654235,-0.007072593,-0.019792463
0.007104751,0.019702682,0.001493489,-0.004916259,0.00742557,0.009865633,0.002679958,0.015976437,0.004085252,0.000493913,0.009511646,0.038843372,0.002325089,0.000692914,0.004039126,0.004104143,0.020067438,-0.002261498,0.022612856,-0.000132539,0.014950071,0.010691309,0.012774296,0.001081672,-0.001508115,0.016986022,0.001062938,-0.003327722,0.00604704,0.005767264
0.006579021,0.019878625,0.012887327,0.004347651,0.020222762,0.016375564,-0.003267069,-0.002285822,0.012101042,0.000740419,0.009741612,0.006017415,0.000844362,0.029858027,0.001762269,0.002517366,0.007467968,-0.009097897,0.027020858,0.00345294,0.005789496,-0.000989851,0.004905468,0.011017068,0.012704359,0.004973084,0.024961755,-0.008536452,-0.003855723,-0.003436166
-0.003947225,-0.005595598,-0.005339989,-0.002920395,0.002176322,0,-0.002940784,-0.000942837,-0.020231348,0.002340722,0.005418235,-0.004886438,-0.00168945,-0.008440271,-0.001258451,0.006265546,-0.002024552,-0.000380997,0.003530571,-0.008521266,-0.000320759,-0.002850826,-0.007309625,-0.02818613,0.001314132,-0.008933186,0.005371964,0.006701389,-0.011656378,0.001618179
0.002527762,-0.024806919,0.035695662,0.001781628,0.000327826,-0.001757509,0.003863418,-0.003103968,0.006316983,-0.003204706,0.007021491,-0.02634222,0.004428264,-0.01503004,-0.010887606,-0.011832899,-0.006171373,-0.010531371,-0.013921029,-0.01889659,-0.002569699,-0.008476831,-0.008865359,-0.003304064,-8.77E-05,0.045871947,-0.003715889,-0.012264008,-0.007453464,0.002221136
-0.002684338,0.015417071,-0.00418567,0.00857764,-0.009228844,0.003950126,0.00892968,0.002969121,-0.017626969,-0.006688692,-0.008771334,-0.010109078,-0.010894479,0.001031903,0.01616223,0.001578557,-0.002333152,-0.002312304,-0.005789581,0.004893576,0.00449303,0.003748584,-0.017146075,0.008786421,0.006806351,-0.001077282,-0.013534608,-0.007294823,-0.004604584,-0.006677892
